cluster,bridge_age,condition_score,maintenance_priority,future_burden_ratio,aging_rate,fiscal_index,structure_category,bridge_area,emergency_route,overpass,repair_year_normalized,under_river,distance_to_coast_km
0,50.01690878780662,1.8292450583472255,94.1150273874732,47.092221335903496,35.83622243179686,0.5655208101580269,1.5248868778280542,190.30413922362467,0.470111931412241,0.0,0.1314959550253668,0.5801381281257443,9.294340383928525
1,44.08139534883721,2.197674418604651,100.79069767441861,40.4809104071207,35.48331733413607,0.5761068105724697,2.104651162790698,1105.2037558139534,0.6744186046511628,1.0,0.284707540521494,0.12790697674418605,4.673529299572601
2,49.0,3.0,147.0,46.95833038556774,29.702234760859454,0.5657835160948002,3.0,9078.0,1.0,1.0,1.0,0.0,0.0475750000137535
3,22.8,2.0,45.6,47.120000000000005,32.92350035608678,0.6140000000000001,2.0,10000.0,0.4,0.0,0.0,0.0,0.9868404818533705
4,18.0,1.0,18.0,41.0,36.15472082028367,0.54,5.0,7259.7,1.0,1.0,0.0,0.0,0.6498139367469592
